Site,Mean,Median,Slope,Pval,IAV,Type
147,23.42664115,23.40518937,-0.006555804,0.039447365,0.148551675,Jacobs
148,24.04769853,24.07427607,-0.01947285,0.018703635,0.328223324,Jacobs
149,23.50606243,23.52838698,0.000869679,0.560903574,0.081403488,Jacobs
150,23.38661548,23.39505145,-0.001553113,0.377977518,0.090017658,Jacobs
151,23.50606243,23.52838698,0.000869679,0.560903574,0.081403488,Jacobs
1,24.5938735,24.6076938,0.000484402,0.617392769,0.053415413,Leuning
2,24.55303672,24.558413,0.000195688,0.858423782,0.058097155,Leuning
3,24.68944823,24.69557972,0.001368789,0.132849867,0.054740441,Leuning
4,24.68208678,24.68450548,0.000449434,0.802761792,0.048802705,Leuning
5,24.66529177,24.67463761,0.00110638,0.372443896,0.05208125,Leuning
6,24.67021436,24.6748985,0.001284848,0.306952953,0.053519645,Leuning
7,24.66179447,24.67437802,0.000526683,0.683336809,0.049976987,Leuning
8,24.66529177,24.67463761,0.00110638,0.372443896,0.05208125,Leuning
9,24.66351634,24.67437802,0.000651234,0.666151799,0.050318063,Leuning
10,24.73804982,24.74123678,0.000933908,0.30783043,0.047503304,Leuning
11,24.09643909,24.09889994,0.000965683,0.656512502,0.075271583,Leuning
12,24.09643909,24.09889994,0.000965683,0.656512502,0.075271583,Leuning
13,24.03473271,24.0494078,0.000710722,0.614239542,0.080913426,Leuning
14,24.03473271,24.0494078,0.000710722,0.614239542,0.080913426,Leuning
15,24.02669887,24.0340007,0.001222288,0.453662366,0.071675061,Leuning
16,23.88947017,23.89191172,0.003564046,0.080241886,0.103513713,Leuning
17,23.88947017,23.89191172,0.003564046,0.080241886,0.103513713,Leuning
18,23.96217869,23.98325576,0.006113895,0.0033329,0.113224973,Leuning
19,23.97802633,23.97915906,0.00265035,0.259887237,0.095005105,Leuning
20,23.79036205,23.79766298,0.005136729,0.004423146,0.124096239,Leuning
21,23.77019219,23.77439309,-0.001593173,0.423409616,0.110378721,Leuning
22,23.7744085,23.76828521,0.001695073,0.355310453,0.099147329,Leuning
23,23.59114181,23.60181049,-0.001116475,0.615168145,0.15782548,Leuning
24,23.59114181,23.60181049,-0.001116475,0.615168145,0.15782548,Leuning
25,23.63629417,23.64775054,0.002462912,0.49528676,0.155623049,Leuning
26,23.87544891,23.93188966,-0.00197663,0.406443338,0.191591305,Leuning
27,23.74648661,23.76197526,-0.000732679,0.812508546,0.138504586,Leuning
28,23.95705637,23.94751598,-0.003769587,0.440783367,0.204670212,Leuning
29,23.17531896,23.18940247,-0.001744125,0.722000355,0.26448611,Leuning
30,22.34369528,22.39193993,-0.0106907,0.09103053,0.347673194,Leuning
31,22.61880861,22.71903799,-0.012178786,0.035285132,0.32200816,Leuning
32,23.57179935,23.58767514,-0.001216074,0.699914766,0.172400375,Leuning
33,23.50370067,23.53735987,-0.00204485,0.635227394,0.216054706,Leuning
34,23.21200136,23.18042007,-0.006615818,0.259887237,0.25353074,Leuning
35,23.55010495,23.64079052,-0.009103444,0.037947435,0.262087199,Leuning
36,23.04087929,23.05753755,-0.004783558,0.28580934,0.177816304,Leuning
37,23.14916085,23.18660057,-0.007144085,0.065207174,0.200737703,Leuning
38,24.1006339,24.09289334,-0.001462813,0.299404607,0.080597454,Leuning
39,23.8581684,23.85065447,-0.001721896,0.514223458,0.113817574,Leuning
40,24.1006339,24.09289334,-0.001462813,0.299404607,0.080597454,Leuning
41,23.87890459,23.88679433,-0.003710289,0.116091857,0.120574916,Leuning
42,23.8581684,23.85065447,-0.001721896,0.514223458,0.113817574,Leuning
43,23.92291679,23.93206869,-0.001437741,0.614239542,0.125565538,Leuning
44,24.16999419,24.17374521,-0.000502197,0.812508546,0.09365655,Leuning
45,23.58668396,23.60439322,0.000507606,0.905595794,0.154964472,Leuning
46,23.58668396,23.60439322,0.000507606,0.905595794,0.154964472,Leuning
47,23.85738518,23.87035026,9.80E-05,0.952714935,0.106039463,Leuning
