"Lat","Lon","Site","Mean","Median","Slope","Pval","IAV","Type"
"1",58.4,"-156.1","1",20.1329208249263,19.9662973686478,-0.00478738858597983,0.592490180854787,0.65409290009839,"TR"
"2",58.49,"-155.7","2",18.7661232337598,18.713560977295,0.00822218919137617,0.408214894732956,0.385220209086382,"TR"
"3",59.03,"-155.7","3",19.3383662313954,19.3422537902266,0.00949497689421456,0.271287115782941,0.424470643426849,"TR"
"4",60.63,"-154.4","4",19.0678457614097,19.1666062308458,0.01792867588536,0.453662366270309,0.782831027882629,"TR"
"5",60.47,"-154.1","5",19.669496934244,19.6670225403599,0.00914757378878351,0.0771289037063571,0.327209966677379,"TR"
"6",60.3,"-154","6",18.7877743986641,18.8105965972123,0.0053897840446293,0.426842608795701,0.332416005422386,"TR"
"7",60.5,"-154","7",19.0096613722613,19.0176662870948,0.0128831065367416,0.110117954012905,0.336190448960915,"TR"
"8",60.5,"-154","8",17.9561475304348,17.9222899319974,0.0647411527926001,1.1405223141454e-07,0.411382403998946,"TR"
"9",60.04,"-154","9",19.5563255012971,19.4615700780929,-0.00473997661881656,0.441845502530452,0.336530667611098,"TR"
"10",60.97,"-153.9","10",19.066511270846,19.0798037174979,0.0613352791874882,1.94557567436359e-06,0.467729633997233,"TR"
"11",44.2,"-121.9","11",21.1807758591604,21.1262200608104,-0.0132792540245312,0.172615162279684,0.412199616052416,"TR"
"12",44.4,"-121.9","12",20.5829804269825,20.5190982157403,-0.0171815867302545,0.0469805611166679,0.516644165632921,"TR"
"13",44,"-121.5","13",20.5386519168767,20.4881581649593,-2.65298740380615e-05,0.976347076526438,0.286546609014933,"TR"
"14",44,"-121.5","14",20.2694801234339,20.186855876521,-0.00762543477870911,0.0577581886372504,0.330575995142424,"TR"
"15",46.7,"-120.9","15",16.8660851891503,16.9080665094871,-0.00585087247257476,0.802761791874143,0.578275476728835,"TR"
"16",44.49,"-120.6","16",17.0183066005634,16.9630020594205,-0.00853659262697515,0.342740465715294,0.397265222886343,"TR"
"17",44.49,"-120.6","17",17.8161730771511,17.7980038509099,-0.0333258760499727,0.00582725731337703,0.693425040837659,"TR"
"18",47.34,"-120.6","18",17.1492122225186,17.1087429195567,-0.0171608820044624,0.123136275675247,0.536724737432112,"TR"
"19",48.6,"-119.7","19",16.7105060908923,16.7600333124589,-0.00871950604247927,0.614239541598542,0.836477404288876,"TR"
"20",37.03,"-119.3","20",17.683312835963,17.6922742803947,0.00823299653272661,0.259887236509225,0.40004077525845,"TR"
"21",48.59,"-119.1","21",17.4197934675188,17.3964194698025,0.0337646993442361,0.00697472395835133,0.628165649186121,"TR"
"22",48.51,"-118.8","22",17.2833740474621,17.1443463810797,-0.00405391005133026,0.709164503862948,0.561194314737206,"TR"
"23",37.53,"-118.2","23",16.6966036064091,16.691266478869,-0.00217727749474791,0.709164503862948,0.426827089073574,"TR"
"24",37.52,"-118.2","24",16.5711714496882,16.5298573535554,-0.01491133684903,0.0948610767923395,0.326869502469957,"TR"
"25",36.76,"-112.26","25",17.3273680229595,17.1591029386133,-0.0325215650371263,0.0437869804777886,0.885605800535398,"TR"
"26",35.36,"-111.62","26",18.0776152455218,18.1659474757169,0.0072188510187858,0.373752366071818,0.754682908696908,"TR"
"27",39.36,"-111.26","27",17.065142473364,16.7848032599708,-0.0262998542603188,0.247555778180202,0.936046148193263,"TR"
"28",33.81,"-110.91","28",17.8425689799126,17.9324566125965,0.00869990062441442,0.458558745524684,0.470486099124032,"TR"
"29",32.41,"-110.7","29",18.5397910232105,18.6477037836279,-0.0227607602047615,0.0437869804777886,0.62595226734524,"TR"
"30",40.54,"-110.64","30",17.8038290270399,17.7056608902932,-0.0175373612006889,0.406443337928541,0.732036464790932,"TR"
"31",32.72,"-109.97","31",18.1214378631201,18.225400177707,-0.0114408781207228,0.0854987325135719,0.393386303614717,"TR"
"32",35.27,"-107.62","32",17.2360285647825,17.3420778815342,-0.0165189265728689,0.109368086770804,0.535739170829025,"TR"
"33",35.21,"-106.42","33",16.769437739931,16.8312211515266,-0.0666419146394001,0.000998225384171292,1.0216936325289,"TR"
"34",34.24,"-105.79","34",16.870522356211,17.2000993047766,-0.058135137549931,0.00249302753224377,0.885236082864898,"TR"
"35",32.75,"-105.77","35",18.5146101020388,18.7193090663282,-0.0235754723823851,0.0407786920676653,0.637006232767386,"TR"
"36",34.683,"-94.63","36",20.1755004114671,20.1759482018025,-0.0205039771861902,0.0407786920676653,0.50193706310066,"TR"
"37",37.067,"-89.6","37",20.6787612769406,20.7876673561586,0.00787589693774125,0.566446141766224,0.640595932796533,"TR"
"38",46.89,"-87.89","38",19.5551473548454,19.5948407193395,0.00533586700840682,0.678080109470603,0.564970494048319,"TR"
"39",46.89,"-87.89","39",22.0375471330773,22.0188320605266,0.0416322290723809,3.76911823952338e-05,0.436825548125841,"TR"
"40",46.84,"-87.86","40",23.7164973050175,23.8659171898557,-0.0127254651406843,0.202343886578848,0.5467690013149,"TR"
"41",47.1,"-87.86","41",21.0385370168696,21.0192514906694,0.0349994377929213,0.00110872314789711,0.494151526994859,"TR"
"42",46.84,"-87.86","42",21.2820694873989,21.2756171145718,0.0213256708544337,0.0138605370137844,0.467858095265689,"TR"
"43",47.1,"-84.4","43",18.4302415655264,18.5698495000308,-0.0110856507425889,0.57321097891228,1.27037741381939,"TR"
"44",47.1,"-84.4","44",23.2351652694467,23.2975540394003,-0.0406128197903714,0.000724929304053229,0.529180144080004,"TR"
"45",34.67,"-84.183","45",21.2373999651467,21.318448238281,-0.00144730368184014,0.812508545804883,0.44603101221546,"TR"
"46",34.67,"-84.183","46",20.4217633326128,20.4724095915457,0.0179925061527001,0.00366560370224007,0.361520768802936,"TR"
"47",46.74,"-80.56","47",18.4399654744563,18.3926331657962,0.0340791320107197,0.00185112515628248,0.616483669534643,"TR"
"48",46.73,"-80.11","48",19.0887206229287,19.0711031819504,0.0164913433605998,0.13051014968251,0.599759489431058,"TR"
"49",47.06,"-79.77","49",18.4808983342727,18.4198063661437,0.0210309058755005,0.0744069135980519,0.49810466612274,"TR"
"50",48.47269,"-79.330129","50",17.7880303417687,17.7883354240493,-0.010027804040325,0.0998267644267193,0.273532139459486,"TR"
"51",38.88,"-79.24","51",23.148330503157,22.9351226474884,0.0722854050169409,2.04003960406313e-09,0.272635901522128,"TR"
"52",41.07,"-74.02","52",21.4307269946407,21.5384749853723,0.00932277014733014,0.476729058288446,0.693113504026633,"TR"
"53",41.07,"-74.02","53",20.1809705427757,20.2483680186499,0.01398778790001,0.102956008308231,0.460203449155506,"TR"
"54",41.416678,"-74.00535","54",21.4334686048434,21.5333905103467,0.00780299514759209,0.467546062804768,0.697475473484293,"TR"
"55",41.416678,"-74.00535","55",20.1934107035637,20.2600913915754,0.0144863297082658,0.116091857007221,0.453537185294982,"TR"
"56",-40.17,"-73.43","56",19.0862179826549,19.1056718476142,0.0041670273154157,0.50613071686577,0.292863013618655,"TR"
"57",44.03,"-73.08","57",17.2837243616855,17.1420790812806,0.039561966613449,0.000298879733457229,0.423918111203144,"TR"
"58",42.53,"-72.17","58",18.2495435501496,18.2631071074712,0.0402258095962943,1.95964637929961e-05,0.391893500705896,"TR"
"59",-41.1,"-71.8","59",17.6816806590493,17.7083760824065,-0.019315627075848,0.00120230701629991,0.311742472229609,"TR"
"60",-41.15,"-71.8","60",19.7049567795349,19.7348134443417,-0.0096433279562305,0.466468277436791,0.602679373512488,"TR"
"61",-41.18,"-71.78","61",18.3655890275227,18.3845411817827,-0.0162431873459459,0.0566745027339212,0.463351363814078,"TR"
"62",-41.16,"-71.78","62",17.4438257768851,17.4906638448817,-0.00876887244887019,0.0854542915250918,0.239710993267939,"TR"
"63",-41.2,"-71.77","63",17.2060740252979,17.1932990219197,0.00460943160614762,0.198430409681258,0.225119351306432,"TR"
"64",-41.15,"-71.7","64",19.469171112493,19.565105639233,0.00420828217683745,0.653187872435472,0.416782486522228,"TR"
