Site,Lat,Lon,PFT,Year,D13C_gpp,D13C_gs,D13C_6-8,Discr_mod,Stom_mod,beta_stress,Obs
116,38.6268,-122.2547722,BDT,2011,22.99690349,22.63330455,22.63330455,simple,Jacobs,0.786012053,21.12161568
117,37.167,-122.233,NET,2007,22.85092784,22.98966463,22.24013792,simple,Jacobs,0.542960753,17.19417929
118,37.25625,-122.21931,NET,2016,22.82628597,23.02096975,22.04371097,simple,Jacobs,0.553524385,21.39263292
119,37.25362,-122.21835,NET,2016,22.82628597,23.02096975,22.04371097,simple,Jacobs,0.553524385,22.0877369
120,37.25355,-122.21803,NET,2016,22.82628597,23.02096975,22.04371097,simple,Jacobs,0.553524385,21.8393399
121,48.154409,-122.164797,NET,2003,23.12301861,23.70923498,22.41942087,simple,Jacobs,0.829437335,18.00039368
122,48.194862,-122.127144,NET,2003,23.12301861,23.70923498,22.41942087,simple,Jacobs,0.829437335,20.06637667
123,37.00082,-122.06189,NET,2016,22.82628597,23.02096975,22.04371097,simple,Jacobs,0.553524385,19.8654074
124,37.01,-122.06,BET,2008,23.70958744,23.65293052,23.34868327,simple,Jacobs,0.487063557,19.65157511
124,37.01,-122.06,BET,2008,23.70958744,23.65293052,23.34868327,simple,Jacobs,0.487063557,20.08143624
124,37.01,-122.06,BET,2008,23.70958744,23.65293052,23.34868327,simple,Jacobs,0.487063557,19.75638588
124,37.01,-122.06,BET,2008,23.70958744,23.65293052,23.34868327,simple,Jacobs,0.487063557,20.87921134
124,37.01,-122.06,BDT,2008,23.33557902,23.00816507,23.00816507,simple,Jacobs,0.487063557,22.58390369
125,36.99752,-122.05316,NET,2016,22.85401582,22.94993478,22.21127518,simple,Jacobs,0.764637152,21.80454232
126,36.9996,-122.05296,NET,2016,22.85401582,22.94993478,22.21127518,simple,Jacobs,0.764637152,21.43246189
127,46.033211,-121.838628,NET,1994,23.0974268,23.64913525,22.47310857,simple,Jacobs,0.933561762,18.38895955
